2026-09-21 21:49:16,vSkimmer,domain,mysticlink.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926870/
2026-09-22 08:53:03,ClearFake,domain,n4co3g3a.en-us-glycofree.com,#ClearFake #mac-0xdcf2 #macOS,https://threatfox.abuse.ch/ioc/1927270/
2026-09-21 21:49:17,vSkimmer,domain,navalandmaritimebooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926871/
2026-09-21 15:54:29,IClickFix,domain,nazirsons.pk,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926589/
2026-09-21 21:49:17,vSkimmer,domain,needleworkbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926872/
2026-09-22 06:07:18,ClearFake,domain,netweblabs.com,#ClearFake #ClickFix #etherhiding,https://threatfox.abuse.ch/ioc/1927226/
2026-09-22 09:05:27,ClearFake,domain,njeydk6j.kaarenorge.com,#ClearFake #mac-0xdcf2 #macOS,https://threatfox.abuse.ch/ioc/1927279/
2026-09-21 15:54:29,IClickFix,domain,norcom.com.ar,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926590/
2026-09-22 06:28:27,Unknown malware,domain,nuypoiaklber.lol,,https://urlhaus.abuse.ch/url/3920798/
2026-09-22 09:02:38,ClearFake,domain,nvywb8od.en-en--enerflow.com,#ClearFake #mac-0x76c7 #macOS,https://threatfox.abuse.ch/ioc/1927273/
2026-09-21 13:25:45,Vidar,domain,nw.1betasia.org,#Vidar,https://threatfox.abuse.ch/ioc/1926483/
2026-09-21 13:25:46,Vidar,domain,nw.hg77.org,#Vidar,https://threatfox.abuse.ch/ioc/1926485/
2026-09-21 15:54:29,IClickFix,domain,okakademi.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926591/
2026-09-21 22:04:52,ClearFake,domain,oklsb0jz.josephmichaelnh.com,#ClearFake #mac-0x0f14 #macOS,https://threatfox.abuse.ch/ioc/1926907/
2026-09-22 03:31:53,ClearFake,domain,oralsurgeontintonfalls.com,#ClearFake,https://threatfox.abuse.ch/ioc/1927098/
2026-09-21 15:54:29,IClickFix,domain,parsifal21.com.br,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926592/
2026-09-22 09:38:25,ClearFake,domain,pasoor.casino,#ClearFake,https://threatfox.abuse.ch/ioc/1927282/
2026-09-22 08:55:21,php.shin_webshell,domain,pdagr01372.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927271/
2026-09-22 01:20:13,php.shin_webshell,domain,pfiqj2mpyy.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927024/
2026-09-22 05:00:05,Unknown malware,domain,pixelsoftzone.net,#ClickFix #etherhide,https://threatfox.abuse.ch/ioc/1926942/
2026-09-21 19:17:27,SmartApeSG,domain,planetreeapse.co,#SmartApeSG,https://threatfox.abuse.ch/ioc/1926782/
2026-09-22 06:07:18,ClearFake,domain,pluginyardware.com,#ClearFake #ClickFix #etherhiding,https://threatfox.abuse.ch/ioc/1927225/
2026-09-21 11:05:55,ClearFake,domain,praxis-harmonie.ch,#compromised #etherhide,https://threatfox.abuse.ch/ioc/1926432/
2026-09-21 15:54:29,IClickFix,domain,procarautobodyshop.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926593/
2026-09-21 15:54:29,IClickFix,domain,promopixelstudio.com,#ClickFix #Mac,https://threatfox.abuse.ch/ioc/1926594/
2026-09-21 21:19:29,ClearFake,domain,protransportationservice.com,#21September2026 #ClearFake #Commandline #macOS,https://threatfox.abuse.ch/ioc/1926844/
2026-09-21 23:25:55,php.shin_webshell,domain,puvagati.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1926940/
2026-09-22 01:21:50,ClearFake,domain,qjnp08xe.rockunitedband.com,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1927026/
2026-09-21 23:21:17,ClearFake,domain,qt8do7h1.qlaneturnstiles.com,#ClearFake #mac-0x68dc #macOS,https://threatfox.abuse.ch/ioc/1926939/
2026-09-22 10:58:20,php.shin_webshell,domain,qucavyli.workers.dev,#Cloudflare #gif #PHP #webshell #WordPress #workers.dev #wp-admin,https://threatfox.abuse.ch/ioc/1927316/
2026-09-22 05:00:25,AMOS,domain,questlyric8.com,#Amos #ClickFix #Foxveil #hiddenfix #macOS,https://bazaar.abuse.ch/sample/6fa9d4e59f3555278ff55dd617356a51ecb43239abafa333c8fa82da2a1c7088/
2026-09-21 21:49:17,vSkimmer,domain,rarechristianbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926873/
2026-09-21 21:49:17,vSkimmer,domain,readinghabit.com.au,#skimming #victim,https://threatfox.abuse.ch/ioc/1926874/
2026-09-21 21:49:17,vSkimmer,domain,readinkbooks.com,#skimming #victim,https://threatfox.abuse.ch/ioc/1926875/
2026-09-21 21:49:17,vSkimmer,domain,remnantbooks.org,#skimming #victim,https://threatfox.abuse.ch/ioc/1926876/
2026-09-21 21:49:17,vSkimmer,domain,renaissancebooks.co.nz,#skimming #victim,https://threatfox.abuse.ch/ioc/1926877/
